Date,Forecasted_MaxTemp
2020-01-01,22.618999999999996
2020-01-02,23.094
2020-01-03,22.260999999999996
2020-01-04,20.86199999999998
2020-01-05,26.175000000000004
2020-01-06,25.594999999999995
2020-01-07,27.399
2020-01-08,23.822000000000006
2020-01-09,22.679000000000002
2020-01-10,22.515999999999995
2020-01-11,22.04899999999999
2020-01-12,24.429999999999996
2020-01-13,26.03
2020-01-14,26.35099999999997
2020-01-15,23.71
2020-01-16,23.000999999999994
2020-01-17,22.144000000000005
2020-01-18,22.161000000000005
2020-01-19,24.930999999999997
2020-01-20,25.961999999999993
2020-01-21,26.27399999999999
2020-01-22,23.561999999999994
2020-01-23,23.219000000000005
2020-01-24,22.368999999999996
2020-01-25,22.184000000000005
2020-01-26,24.668000000000003
2020-01-27,25.568999999999992
2020-01-28,26.48599999999999
2020-01-29,23.42899999999999
2020-01-30,23.20300000000001
2020-01-31,21.851
2020-02-01,22.127000000000002
2020-02-02,24.370000000000005
2020-02-03,25.879999999999995
2020-02-04,26.71299999999998
2020-02-05,24.092000000000006
2020-02-06,22.987
2020-02-07,22.655999999999995
2020-02-08,22.267999999999997
2020-02-09,25.130000000000006
2020-02-10,26.084999999999987
2020-02-11,26.21899999999999
2020-02-12,24.546999999999983
2020-02-13,23.08
2020-02-14,22.767999999999997
2020-02-15,22.041000000000007
2020-02-16,24.596999999999994
2020-02-17,25.758999999999983
2020-02-18,26.421
2020-02-19,24.670999999999996
2020-02-20,23.298
2020-02-21,22.51
2020-02-22,22.447999999999997
2020-02-23,24.859
2020-02-24,25.882999999999992
2020-02-25,26.125999999999994
2020-02-26,24.662999999999993
2020-02-27,22.88700000000001
2020-02-28,23.108000000000008
2020-02-29,22.573000000000008
2020-03-01,24.932999999999993
2020-03-02,25.228999999999996
2020-03-03,26.49
2020-03-04,24.605999999999995
2020-03-05,23.08299999999999
2020-03-06,21.787
2020-03-07,22.888000000000005
2020-03-08,24.294999999999995
2020-03-09,25.645999999999994
2020-03-10,26.55199999999999
2020-03-11,24.506999999999998
2020-03-12,23.417999999999996
2020-03-13,22.41399999999999
2020-03-14,22.747000000000007
2020-03-15,25.159000000000013
2020-03-16,25.664
2020-03-17,26.289999999999996
2020-03-18,24.71399999999999
2020-03-19,22.909000000000006
2020-03-20,22.255
2020-03-21,22.631000000000007
2020-03-22,25.179000000000006
2020-03-23,25.612999999999996
2020-03-24,26.342000000000002
2020-03-25,24.509999999999994
2020-03-26,23.173999999999996
2020-03-27,22.393999999999995
